Nombre,Artista,Enlace del video-web,Nombre en la carpeta del drive,Anime,Imagen Web,Nombre imagen drive,Temporada,Año,Enlace Drive
Sweet Magic,F/ACE,https://v.animethemes.moe/TamonKunImaDocchi-OP1.webm,TamonKunImaDocchi-OP1.webm,Tamon-kun Ima Docchi!?,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/vuad2muPvrYytel4MqjSbhd75I9CYC3h6GukOCqv.jpg,vuad2muPvrYytel4MqjSbhd75I9CYC3h6GukOCqv.jpg,Winter,2026,https://drive.google.com/file/d/1cmJDpV-EvyueCW2eVtP3eNP8CNT-mFmu/view?usp=drivesdk
Shirube,Towa Tokoyami,https://v.animethemes.moe/YuushaPartyWoOidasaretaKiyouBinbou-OP1.webm,YuushaPartyWoOidasaretaKiyouBinbou-OP1.webm,Yuusha Party wo Oidasareta Kiyou Binbou,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/q1KAtpnMHImycpkLZpB9I6N64qrWDlU6VE6Cnhvi.jpg,q1KAtpnMHImycpkLZpB9I6N64qrWDlU6VE6Cnhvi.jpg,Winter,2026,https://drive.google.com/file/d/1pvtFT8m3oNq9qMdm48AGHAW3tykf7FZl/view?usp=drivesdk
PROVANT,"SawanoHiroyuki[nZk], Jean-Ken Johnny, TAKUMA",https://v.animethemes.moe/FateStrangeFake-OP1.webm,FateStrangeFake-OP1.webm,Fate/strange Fake,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/i7gidroOokt2g6WSQPCB1KuqYyuhR4lklXXbAOEo.png,i7gidroOokt2g6WSQPCB1KuqYyuhR4lklXXbAOEo.png,Winter,2026,https://drive.google.com/file/d/1u-ncMyXTkiYsnbFxsgl4LmhNF8QowI3d/view?usp=drivesdk
GO GO PARADISE!!,GRANRODEO,https://v.animethemes.moe/GoumonBaitoKun-OP1.webm,GoumonBaitoKun-OP1.webm,Goumon Baito-kun no Nichijou,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/LzPI2hLLuDiwXYMbjRivDN64vgXAODWRQPcteDJL.jpg,LzPI2hLLuDiwXYMbjRivDN64vgXAODWRQPcteDJL.jpg,Winter,2026,https://drive.google.com/file/d/1kyPNAPDETAdTKITBgkdhXx8VLHIKY_6R/view?usp=drivesdk
Adrena,YOASOBI,https://v.animethemes.moe/Hanakimi-OP1.webm,Hanakimi-OP1.webm,Hanazakari no Kimitachi e,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/9pRG3SNKXxCMdVSkfpuMGmVMjoFDGyOFv1fvra4p.jpg,9pRG3SNKXxCMdVSkfpuMGmVMjoFDGyOFv1fvra4p.jpg,Winter,2026,https://drive.google.com/file/d/1xQNlD7Z3-yukqdtw68Cnup57WI-6RSZ4/view?usp=drivesdk
Sonare,TOMOO,https://v.animethemes.moe/IkokuNikki-OP1.webm,IkokuNikki-OP1.webm,Ikoku Nikki,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/H8bh5POWFQyVAWPhWf3F3G5wztP42OJw5cTk5M2F.png,H8bh5POWFQyVAWPhWf3F3G5wztP42OJw5cTk5M2F.png,Winter,2026,https://drive.google.com/file/d/104ZOJtBHJpwzup6oZ0_kMEpn6-TUcmQH/view?usp=drivesdk
Kirei.,Yuu.,https://v.animethemes.moe/KireiNiShitemoraemasuKa-OP1.webm,KireiNiShitemoraemasuKa-OP1.webm,Kirei ni Shitemoraemasu ka.,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/Hnj9QuUtkZBcF63ywTiK1IhebEz37RbmZamij7Zb.jpg,Hnj9QuUtkZBcF63ywTiK1IhebEz37RbmZamij7Zb.jpg,Winter,2026,https://drive.google.com/file/d/175zRLTrPCyCP1oFlzmC7Iv1djuihY8N0/view?usp=drivesdk
Break off,SUPER★DRAGON,https://v.animethemes.moe/KizokuTensei-OP1.webm,KizokuTensei-OP1.webm,Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/kubwknp0aqt34sdNZjlz1JFU2d65yRwxM5fZ3Mzk.png,kubwknp0aqt34sdNZjlz1JFU2d65yRwxM5fZ3Mzk.png,Winter,2026,https://drive.google.com/file/d/1AuLqsm7sd9S534Ys-nIl2CVE-EVYxjfr/view?usp=drivesdk
Rakenaria no Yume,Isekaijoucho,https://v.animethemes.moe/MajutsushiKunonWaMieteiru-OP1.webm,MajutsushiKunonWaMieteiru-OP1.webm,Majutsushi Kunon wa Mieteiru,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/micrf7Rn7y8hWws1sWEpwvqZAybbhqcEf5OtQpjk.png,micrf7Rn7y8hWws1sWEpwvqZAybbhqcEf5OtQpjk.png,Winter,2026,https://drive.google.com/file/d/1gsMeR0PgU2CAbXMG4ErBd924F9IyL3Z1/view?usp=drivesdk
I Love You ♡,"Yuu Serizawa, HoneyWorks, Sae Hiratsuka, Rin Kusumi, Yuuki Yamamoto",https://v.animethemes.moe/Osalove-OP1.webm,Osalove-OP1.webm,Osananajimi to wa Love Comedy ni Naranai,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/nIaEQ6Ef1qerTyZC6OrmOPfILfcil2rKz8VlsHeR.jpg,nIaEQ6Ef1qerTyZC6OrmOPfILfcil2rKz8VlsHeR.jpg,Winter,2026,https://drive.google.com/file/d/1-u_zwQI4d-W2QHTKdBVAowdq5JOIdFqZ/view?usp=drivesdk
CATCH!!!,Surii,https://v.animethemes.moe/BokuNoHeroAcademiaVigilanteS2-OP1.webm,BokuNoHeroAcademiaVigilanteS2-OP1.webm,Vigilante: Boku no Hero Academia Illegals 2nd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/S9lrzEeAY0j4DRjwTPy8C33t0V7Qfw50O85S4Pnu.jpg,S9lrzEeAY0j4DRjwTPy8C33t0V7Qfw50O85S4Pnu.jpg,Winter,2026,https://drive.google.com/file/d/1vBCmVc4skGEYOXmKyUx8ApbobEm97kZ1/view?usp=drivesdk
TIMELESS POWER feat. MOTSU,"Yuu Serizawa, MOTSU",https://v.animethemes.moe/MFGhostS3-OP1.webm,MFGhostS3-OP1.webm,MF Ghost 3rd Season,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/g0Lq2gWJK9tLXuLKzU0n2G3x8Cie7h88Dxmf2Y75.png,g0Lq2gWJK9tLXuLKzU0n2G3x8Cie7h88Dxmf2Y75.png,Winter,2026,https://drive.google.com/file/d/1NI6eIqyVX7uEDqJEMPskqlG3u6QpLStZ/view?usp=drivesdk
Kimi ga Tomoshite Kureta Hikari wo Ima,"HoneyWorks, Hanon",https://v.animethemes.moe/29SaiDokushinChuukenBoukenshaNoNichijou-OP1.webm,29SaiDokushinChuukenBoukenshaNoNichijou-OP1.webm,29-sai Dokushin Chuuken Boukensha no Nichijou,https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/anime/large-cover/oDl52WWNIaKCsuXAFNgMOgB8RQg7KI0YzylKK1FZ.jpg,oDl52WWNIaKCsuXAFNgMOgB8RQg7KI0YzylKK1FZ.jpg,Winter,2026,https://drive.google.com/file/d/1-iw1BUlGV7iAykhiQetewwbhTw4n9xC_/view?usp=drivesdk
